date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:29	99377/99377	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Apr%202023%2011:35:25%20GMT	https://www.cymolthemes.com/html//Ibitees/index.html	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/index.html	(from )
12:19:30	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Aug%202022%2017:47:35%20GMT	https://www.cymolthemes.com/robots.txt		(from )
12:19:31	358/358	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Tue,%2009%20Aug%202022%2017:47:35%20GMT	https://www.cymolthemes.com/html//Ibitees/%c3%a2%c2%80%c2%9chttps://www.cymolthemes.com/html//Ibitees/%c3%a2%c2%80%c2%9d	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/%c3%a2%c2%80%c2%9chttps_/www.cymolthemes.com/html/Ibitees/%c3%a2%c2%80%c2%9d	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:31	2523/2523	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Apr%202023%2011:36:08%20GMT	https://www.cymolthemes.com/html//Ibitees/images/favicon.png	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/images/favicon.png	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:32	70173/70173	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:35:35%20GMT	https://www.cymolthemes.com/html//Ibitees/css/animate.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/css/animate.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:33	155758/155758	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:35:35%20GMT	https://www.cymolthemes.com/html//Ibitees/css/bootstrap.min.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/css/bootstrap.min.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:34	37415/37415	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:35:34%20GMT	https://www.cymolthemes.com/html//Ibitees/css/font-awesome.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/css/font-awesome.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:34	16455/16455	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:35:36%20GMT	https://www.cymolthemes.com/html//Ibitees/css/themify-icons.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/css/themify-icons.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:34	3770/3770	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:35:34%20GMT	https://www.cymolthemes.com/html//Ibitees/css/flaticon.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/css/flaticon.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:34	1775/1775	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:35:36%20GMT	https://www.cymolthemes.com/html//Ibitees/css/slick.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/css/slick.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
12:19:35	54743/54743	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Apr%202023%2011:40:18%20GMT	https://www.cymolthemes.com/html//Ibitees/revolution/css/rs6.css	C:/My%20Web%20Sites/Immegration/www.cymolthemes.com/html/Ibitees/revolution/css/rs6.css	(from https://www.cymolthemes.com/html//Ibitees/index.html)
